Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
GACC+GR,lagos,5,2,364.0031381,1.4839564,0
GACC+GR+BF,lagos,5,2,364.0031381,1.4839525,0
GAR+GI,lagos,5,2,356.7604974,0.5371584,0
GATG,lagos,5,2,356.7604974,0.599338,0
GITG,lagos,5,2,356.7604974,0.0009501,0
GR+GI,lagos,5,2,364.0031381,1.92E-05,0
KM+BF,lagos,5,2,364.0031381,0.0146187,0
KM+CH,lagos,5,2,364.0031381,0.0155553,0
KM+GAR,lagos,5,2,356.7604974,0.7078976,0
KM+GI,lagos,5,2,580.6183618,0.0147594,0
KM+GR,lagos,5,2,364.0031381,0.01465,0
BF+GI,london,5,2,910.1900423,0.0010621,0
BFTG,london,5,2,776.8824305,0.0034058,0
CH+GI,london,5,2,969.7341982,0.0008283,0
GAC+GI,london,5,2,1033.283405,2.7507946,0
GAC+GR,london,5,2,787.7463915,1.5020802,0
GAC+GR+BF,london,5,2,776.8824305,1.5022973,0
GACC+GI,london,5,2,1033.283405,2.1112734,0
GACC+GR,london,5,2,787.7463915,1.2334792,0
GACC+GR+BF,london,5,2,776.8824305,1.2336948,0
GAR+GI,london,5,2,910.1900423,0.657186,0
GATG,london,5,2,776.8824305,0.5754106,0
GITG,london,5,2,776.8824305,0.0010962,0
GR+GI,london,5,2,787.7463915,2.72E-05,0
KM+BF,london,5,2,776.8824305,0.011978,0
KM+CH,london,5,2,776.8824305,0.0125034,0
KM+GAR,london,5,2,776.8824305,0.6834856,0
KM+GI,london,5,2,1238.491557,0.0119002,0
KM+GR,london,5,2,787.7463915,0.0118019,0
BF+GI,medina,5,2,556.4183976,0.0017855,0
BFTG,medina,5,2,493.4183976,0.0032745,0
CH+GI,medina,5,2,558.8326112,0.0010747,0
GAC+GI,medina,5,2,795.4833688,3.863171,0
GAC+GR,medina,5,2,494.2468248,2.2240052,0
GAC+GR+BF,medina,5,2,494.2468248,2.2239866,0
GACC+GI,medina,5,2,795.4833688,2.5439561,0
GACC+GR,medina,5,2,494.2468248,1.7411985,0
GACC+GR+BF,medina,5,2,494.2468248,1.7411915,0
GAR+GI,medina,5,2,556.4183976,0.6977369,0
GATG,medina,5,2,493.4183976,0.9423921,0
GITG,medina,5,2,580.7260095,0.0010887,0
GR+GI,medina,5,2,556.4183976,2.97E-05,0
KM+BF,medina,5,2,671.3117959,0.0098936,0
KM+CH,medina,5,2,671.3117959,0.0103224,0
KM+GAR,medina,5,2,671.3117959,1.2421275,0
KM+GI,medina,5,2,801.5189027,0.0098092,0
KM+GR,medina,5,2,671.3117959,0.0097184,0
BF+GI,mumbai,5,2,576.8153673,0.0023446,0
BFTG,mumbai,5,2,576.6082605,0.0035919,0
CH+GI,mumbai,5,2,579.022474,0.0008876,0
GAC+GI,mumbai,5,2,899.294552,2.9633688,0
GAC+GR,mumbai,5,2,576.8153673,1.5251122,0
GAC+GR+BF,mumbai,5,2,576.8153673,1.5250695,0
GACC+GI,mumbai,5,2,899.294552,2.8175429,0
GACC+GR,mumbai,5,2,576.8153673,1.1932777,0
GACC+GR+BF,mumbai,5,2,576.8153673,1.193266,0
GAR+GI,mumbai,5,2,576.8153673,0.5057314,0
GATG,mumbai,5,2,576.6082605,0.496272,0
GITG,mumbai,5,2,576.8153673,0.0010439,0
GR+GI,mumbai,5,2,576.8153673,1.78E-05,0
KM+BF,mumbai,5,2,576.8153673,0.011707,0
KM+CH,mumbai,5,2,579.2295808,0.012444,0
KM+GAR,mumbai,5,2,576.6082605,0.6691306,0
KM+GI,mumbai,5,2,908.9514062,0.01184,0
KM+GR,mumbai,5,2,576.8153673,0.011755,0
BF+GI,nairobi,5,2,255.5168107,0.0010688,0
BFTG,nairobi,5,2,255.5168107,0.0047617,0
CH+GI,nairobi,5,2,265.1025971,0.0010934,0
GAC+GI,nairobi,5,2,375.4102089,3.7106588,0
GAC+GR,nairobi,5,2,255.5168107,2.6300923,0
GAC+GR+BF,nairobi,5,2,255.5168107,2.630485,0
GACC+GI,nairobi,5,2,375.4102089,3.3462405,0
GACC+GR,nairobi,5,2,255.5168107,2.0774904,0
GACC+GR+BF,nairobi,5,2,255.5168107,2.0778018,0
GAR+GI,nairobi,5,2,255.5168107,0.7341474,0
GATG,nairobi,5,2,255.5168107,1.0917816,0
GITG,nairobi,5,2,255.5168107,0.0576292,0
GR+GI,nairobi,5,2,255.5168107,2.11E-05,0
KM+BF,nairobi,5,2,255.5168107,0.0336425,0
KM+CH,nairobi,5,2,256.7239174,0.0355892,0
KM+GAR,nairobi,5,2,255.5168107,1.551261,0
KM+GI,nairobi,5,2,388.6883835,0.0336648,0
KM+GR,nairobi,5,2,255.5168107,0.0333591,0
BF+GI,new_york,5,2,560.7321061,0.0084128,0
BFTG,new_york,5,2,536.4244943,0.0186127,0
CH+GI,new_york,5,2,560.7321061,0.0010639,0
GAC+GI,new_york,5,2,818.4183976,4.0758469,0
GAC+GR,new_york,5,2,536.4244943,2.3315187,0
GAC+GR+BF,new_york,5,2,536.4244943,2.3314973,0
GACC+GI,new_york,5,2,818.4183976,2.8474788,0
GACC+GR,new_york,5,2,560.7321061,2.0099921,0
GACC+GR+BF,new_york,5,2,560.7321061,2.0099743,0
GAR+GI,new_york,5,2,560.7321061,0.693505,0
GATG,new_york,5,2,536.4244943,0.8590213,0
GITG,new_york,5,2,560.7321061,0.0018025,0
GR+GI,new_york,5,2,564.2529214,2.36E-05,0
KM+BF,new_york,5,2,688.5605333,0.0144324,0
KM+CH,new_york,5,2,688.5605333,0.0150527,0
KM+GAR,new_york,5,2,688.5605333,1.0632119,0
KM+GI,new_york,5,2,824.4539316,0.0143392,0
KM+GR,new_york,5,2,689.76764,0.01423,0
BF+GI,paris,5,2,536.9453096,0.0011011,0
BFTG,paris,5,2,536.7382028,0.0041339,0
CH+GI,paris,5,2,541.5666299,0.0170661,0
GAC+GI,paris,5,2,832.903679,3.3858622,0
GAC+GR,paris,5,2,536.7382028,2.6535719,0
GAC+GR+BF,paris,5,2,536.7382028,2.6535627,0
GACC+GI,paris,5,2,832.903679,2.9904186,0
GACC+GR,paris,5,2,536.7382028,2.1656313,0
GACC+GR+BF,paris,5,2,536.7382028,2.1656191,0
GAR+GI,paris,5,2,536.9453096,0.6222684,0
GATG,paris,5,2,536.7382028,0.6788361,0
GITG,paris,5,2,541.0813485,0.0012962,0
GR+GI,paris,5,2,536.9453096,2.12E-05,0
KM+BF,paris,5,2,541.2884553,0.0114766,0
KM+CH,paris,5,2,542.2884553,0.0122708,0
KM+GAR,paris,5,2,541.0813485,1.0209045,0
KM+GI,paris,5,2,834.1107858,0.0116325,0
KM+GR,paris,5,2,541.2884553,0.011518,0
BF+GI,rio_de_janeiro,5,2,396.7726907,0.001273,0
BFTG,rio_de_janeiro,5,2,396.7726907,0.0041514,0
CH+GI,rio_de_janeiro,5,2,457.3584771,0.0009835,0
GAC+GI,rio_de_janeiro,5,2,619.2457787,3.6090052,0
GAC+GR,rio_de_janeiro,5,2,396.7726907,3.227569,0
GAC+GR+BF,rio_de_janeiro,5,2,396.7726907,3.2275494,0
GACC+GI,rio_de_janeiro,5,2,619.2457787,3.1046712,0
